Lambda,Algorithm,Count,Mean Normalized Accuracy,Std Norm Accuracy,Mean Normalized Energy,Std Norm Energy,mean_latency_norm,std_latency_norm,Mean Reward,Std Reward,Mean Total Energy (Wh),Std Total Energy (Wh)
0.4,smallest,5,0.3224971670309777,0.0,0.04785310832833502,0.0,0.08831793858344318,0.0,0.5743570568872527,0.0,52.463203797571865,0.0
0.4,thompson_sampling,5,0.6214479620863522,0.007497553539403019,0.13547146890927791,0.00555409513293546,0.16059437937956542,0.003535122355569842,0.7186801896881001,0.004857627197075748,186.38457004757532,25.658296530615154
0.5,accuracy,5,0.6850036129066008,0.0,0.5373095930916143,0.0,0.6258397028689867,0.0,0.5738470099074934,0.0,731.4273224816835,0.0
0.5,epsilon_greedy,5,0.5536524541296468,0.03982599027735757,0.10580462728677018,0.022091233475328556,0.1363524669130935,0.015861368284168793,0.7239239134214384,0.014851457915789904,161.04479086994272,48.99569179543337
0.5,largest,5,0.38419378669728327,0.0,0.4122323191878735,0.0,0.4059649715387025,0.0,0.4859807337547048,0.0,440.4658335067344,0.0
0.5,linear_epsilon_greedy,5,0.6078125679299358,0.012609447680327084,0.13156367384906287,0.0067563276802888655,0.15702287863222017,0.008003509543530353,0.7381244470404364,0.005671852788665036,201.697206927763,66.07299414850995
0.5,linucb,5,0.6208916101204955,0.01210669667663552,0.1275137534284087,0.008369659306786742,0.15750021615621304,0.007285993381699055,0.7466889283460434,0.003854034165012082,149.31548411381684,31.711112635682824
0.5,random,5,0.5124316372166077,0.008646528980939932,0.1665382115900366,0.00318141965700797,0.20306313649572996,0.0027932410544963754,0.6729467128132856,0.005524246012657736,237.77360077675044,6.521705361172115
0.5,smallest,5,0.3224971670309777,0.0,0.04785310832833502,0.0,0.08831793858344318,0.0,0.6373220293513213,0.0,52.463203797571865,0.0
0.5,thompson_sampling,5,0.6171468764420378,0.011209613906183826,0.12692201979516468,0.008621076509652882,0.1554978036869474,0.005083953144168604,0.7451124283234366,0.0049896214720236715,172.03608616429216,26.16087370997238
0.6,accuracy,5,0.6850036129066008,0.0,0.5373095930916143,0.0,0.6258397028689867,0.0,0.5516156893076718,0.0,731.4273224816835,0.0
0.6,epsilon_greedy,5,0.5577529383959182,0.04214265195912675,0.09617102669552924,0.009253360736696976,0.12674852712701914,0.011112313820108723,0.7653985593410497,0.014657148143699585,135.70115955860757,21.47163142965372
0.6,largest,5,0.38419378669728327,0.0,0.4122323191878735,0.0,0.4059649715387025,0.0,0.5063381231661891,0.0,440.4658335067344,0.0
0.6,linear_epsilon_greedy,5,0.5963231354446974,0.012211877110335537,0.10702452399019588,0.004187194836062161,0.14190314297681209,0.009731185592593321,0.7743145397837614,0.004401044589570737,135.92054352805886,14.896178635596407
0.6,linucb,5,0.6026218770000118,0.018584128757734138,0.10842177537006377,0.00890922461789453,0.14009237902491012,0.005961432700403185,0.7759956855779665,0.004782344901771043,135.53840367691663,24.202752834243036
0.6,random,5,0.5146058842816041,0.005338534191117475,0.16884138423878667,0.0027444433330320334,0.20585120503087045,0.0039431492859701225,0.7045375231693697,0.002411473493441508,243.69972588578793,7.667285214063724
0.6,smallest,5,0.3224971670309777,0.0,0.04785310832833502,0.0,0.08831793858344318,0.0,0.70028700181539,0.0,52.463203797571865,0.0
0.6,thompson_sampling,5,0.5872030078820186,0.012698389535483873,0.10913432911452559,0.007158255263855089,0.14147450549320345,0.007472142976615435,0.7694006056840921,0.003741066286611282,150.5877477559614,17.0384993948562
0.7,accuracy,5,0.6850036129066008,0.0,0.5373095930916143,0.0,0.6258397028689867,0.0,0.5293843687078502,0.0,731.4273224816835,0.0
0.7,epsilon_greedy,5,0.5454717012457077,0.03356889763549068,0.09374588612785126,0.013976249926418436,0.12802476114510522,0.013431578317531497,0.7980193900842164,0.011641121228180434,134.7450960662501,34.0646269749663
0.7,largest,5,0.38419378669728327,0.0,0.4122323191878735,0.0,0.4059649715387025,0.0,0.5266955125776736,0.0,440.4658335067344,0.0
0.7,linear_epsilon_greedy,5,0.5685356929804932,0.014127716032894498,0.09468627583439135,0.008418624600144252,0.12731405848100547,0.00944292831749622,0.804280314810074,0.003521962492339006,125.80768573683656,37.33754134806681
0.7,linucb,5,0.5730406283981963,0.017044768334380542,0.09639916833591665,0.003877904470377088,0.13104436310313664,0.004661475869915198,0.8044327706843172,0.0041155375939708186,118.06692747904563,9.163939201747787
0.7,random,5,0.5099997420988069,0.0050965096670518755,0.16817647635470254,0.0019096053677889403,0.20588363814502325,0.0011555106105735828,0.7352763891813503,0.0018045341956307735,234.3303740480219,6.493562882743898
0.7,smallest,5,0.3224971670309777,0.0,0.04785310832833502,0.0,0.08831793858344318,0.0,0.7632519742794588,0.0,52.463203797571865,0.0
0.7,thompson_sampling,5,0.5623514450238436,0.01077153879250361,0.09465479801186963,0.005271961343219089,0.12958280813178857,0.006818572189734046,0.8024470748988444,0.0040603026829121956,122.07544888292338,15.536546631231587
