lambda_weight,run_id,algorithm,accuracy_norm,energy_per_token_norm,latency_norm,reward,total_energy_wh
0.1,146,thompson_sampling,0.6557559687955691,0.2264373372100415,0.24016003730557564,0.667536638195008,372.50481340425205
0.2,242,accuracy,0.6850036129066008,0.5373095930916143,0.6258397028689867,0.6405409717069579,731.4273224816835
0.2,242,epsilon_greedy,0.5745450533325326,0.09442916928097664,0.12158753847230973,0.6407502088098308,123.18100431356653
0.2,242,largest,0.38419378669728327,0.4122323191878735,0.4059649715387025,0.4249085655202519,440.4658335067343
0.2,242,linear_epsilon_greedy,0.6712718906215659,0.183861343896197,0.20614773411171797,0.7002452437180132,208.21245041576046
0.2,242,linucb,0.6411734954682498,0.22164428695765287,0.2635655956915335,0.6686099389830692,251.2097802904966
0.2,242,random,0.493865691177024,0.16480893178334743,0.19920907104472294,0.5621307665849498,227.2413990441784
0.2,242,smallest,0.3224971670309777,0.04785310832833502,0.08831793858344318,0.44842711195911517,52.46320379757186
0.2,242,thompson_sampling,0.6544694608927196,0.23156954723582143,0.2524073316710518,0.6772616592670114,332.6123596558116
0.2,243,accuracy,0.6850036129066008,0.5373095930916143,0.6258397028689867,0.6405409717069579,731.4273224816835
0.2,243,epsilon_greedy,0.6420318384764967,0.23203514428270927,0.21823503036065076,0.6672184419246555,323.1855134568071
0.2,243,largest,0.38419378669728327,0.4122323191878735,0.4059649715387025,0.4249085655202519,440.4658335067343
0.2,243,linear_epsilon_greedy,0.6273519759081911,0.1784154931106579,0.25542288689086035,0.6661984821044213,168.62750276347833
0.2,243,linucb,0.6306552795642402,0.17672167181542153,0.1919041034354597,0.669179889288308,285.53031588405344
0.2,243,random,0.5080966892185795,0.16819159173782072,0.2049504483842808,0.5728390330272995,238.7644386484401
0.2,243,smallest,0.3224971670309777,0.04785310832833502,0.08831793858344318,0.44842711195911517,52.46320379757186
0.2,243,thompson_sampling,0.6435760329174803,0.1962281095846151,0.2154702266524548,0.6756152044170612,248.3616914360345
0.2,244,accuracy,0.6850036129066008,0.5373095930916143,0.6258397028689867,0.6405409717069579,731.4273224816835
